name,latitude,longitude,description,type
"C/ ENTENÇA, 137",41.381951,2.147474,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"C/ JOAN GÜELL, 50",41.3786364,2.1335494,03-Sants-Montjuïc/18-Sants,old
"C/ FÍGOLS, 1",41.3812979,2.1289917,04-LesCorts/19-les Corts,old
"C/ JOAN GÜELL, 98",41.3812001,2.1323612,04-LesCorts/19-les Corts,old
"C/ VALLESPIR, 130",41.3821371,2.1354149,04-LesCorts/19-les Corts,old
"C/ BERLÍN, 38",41.3832609,2.1392662,03-Sants-Montjuïc/18-Sants,old
"C/ GELABERT, 1",41.3871579,2.1410945,04-LesCorts/19-les Corts,old
"C/ VALLESPIR, 194",41.3847113,2.1334379,04-LesCorts/19-les Corts,old
"C/ MEJÍA LEQUERICA, 2",41.3819739,2.1268625,04-LesCorts/20-la Maternitat i Sant Ramon,old
"C/ JOAN GÜELL, 174",41.3839045,2.1312876,04-LesCorts/19-les Corts,old
"C/ NUMÀNCIA, 136",41.3878061,2.1344218,04-LesCorts/19-les Corts,old
"C/ DE LES CORTS, 20",41.3854466,2.1288753,04-LesCorts/19-les Corts,old
"AV. DIAGONAL, 668",41.3887069,2.1285766,04-LesCorts/19-les Corts,old
"AV. DIAGONAL, 672",41.3880355,2.1256248,04-LesCorts/21-Pedralbes,old
"C/ EUROPA, 25",41.387561,2.1306737,04-LesCorts/19-les Corts,old
"AV. DIAGONAL, 650",41.3897943,2.1328634,04-LesCorts/19-les Corts,old
"AV. DIAGONAL, 634",41.3908477,2.136579,04-LesCorts/19-les Corts,old
"AV. DIAGONAL, 630",41.3915195,2.1390667,05-Sarrià-StGervasi/26-Sant Gervasi - Galvany,old
"C/ DIPUTACIÓ, 200",41.3857425,2.1610515,02-Eixample/08-l'Antiga Esquerra de l'Eixample,old
"C/ VILARDELL, 18",41.3745238,2.1422556,03-Sants-Montjuïc/15-Hostafrancs,old
"C/ SANCHO DE ÁVILA, 60-64",41.3987543,2.1902116,10-SantMartí/66-el Parc i la Llacuna del Poblenou,old
"AV. SARRIÀ, 163",41.3922355,2.1309272,04-LesCorts/19-les Corts,old
"C/ SANTA FE DE NOU MÈXIC, 2",41.3935816,2.1345892,05-Sarrià-StGervasi/24-les Tres Torres,old
"C/ JOSÉ DE  AGULLÓ, 9",41.3952027,2.1334873,05-Sarrià-StGervasi/24-les Tres Torres,old
"C/ GANDUXER, 29",41.3939378,2.1380304,05-Sarrià-StGervasi/26-Sant Gervasi - Galvany,old
"C/ MADRAZO, 131",41.3967824,2.1445567,05-Sarrià-StGervasi/26-Sant Gervasi - Galvany,old
"C/ RECTOR UBACH, 24",41.3985735,2.1440826,05-Sarrià-StGervasi/26-Sant Gervasi - Galvany,old
"C/ CONSELL DE CENT, 566",41.4040364,2.183145,02-Eixample/06-la Sagrada Família,old
"C/ LAFORJA, 74-76",41.3976165,2.1471724,05-Sarrià-StGervasi/26-Sant Gervasi - Galvany,old
"C/ TUSET, 19",41.3960982,2.1513154,05-Sarrià-StGervasi/26-Sant Gervasi - Galvany,old
"GRAN DE GRÀCIA, 155 (METRO FONTANA)",41.4025392,2.1524704,06-Gràcia/31-la Vila de Gràcia,old
"C/ DEL CANÓ, 1",41.4013296,2.1574439,06-Gràcia/31-la Vila de Gràcia,old
"C/ DE BONAVISTA, 14",41.3983444,2.1598243,06-Gràcia/31-la Vila de Gràcia,old
"C / GIRONA, 176",41.3999967,2.1644531,02-Eixample/07-la Dreta de l'Eixample,old
"C/ VILADOMAT, 200",41.38481021146711,2.1508071246452154,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"C/ MONTMANY, 1",41.4035608,2.1609345,06-Gràcia/31-la Vila de Gràcia,old
"C/ DEL TORRENT DE LES FLORS, 102",41.4078456,2.1586704,06-Gràcia/31-la Vila de Gràcia,old
"PL. DEL NORD, 5",41.4068417,2.1558354,06-Gràcia/31-la Vila de Gràcia,old
"C/ DE LA SANTACREU, 2 (PL. DE LA VIRREINA)",41.4050968,2.1569161,06-Gràcia/31-la Vila de Gràcia,old
"C/ DE NIL FABRA, 16-20",41.4059356,2.1517977,06-Gràcia/31-la Vila de Gràcia,old
"C/ PALAUDÀRIES, 2",41.37449997033759,2.1730255457161096,03-Sants-Montjuïc/11-el Poble-sec,old
"C/ NOU DE LA RAMBLA, 164",41.3719688,2.1667829,03-Sants-Montjuïc/11-el Poble-sec,old
"PG. DE L´EXPOSICIÓ, 38 | BLASCO GARAY",41.371532,2.162203,03-Sants-Montjuïc/11-el Poble-sec,old
"AV. PARAL.LEL, 98",41.3751767,2.1658972,02-Eixample/11-el Poble-sec,old
"AV. PARAL.LEL, 194",41.3751161,2.1523091,02-Eixample/10-Sant Antoni,old
"C/ RIUS I TAULET, 4",41.3727426,2.1539198,03-Sants-Montjuïc/11-el Poble-sec,old
"C/ ESPRONCEDA, 298",41.4158807,2.1908473,09-SantAndreu/63-Navas,old
"C/ INDÚSTRIA, 329",41.4172922,2.1844769,09-SantAndreu/63-Navas,old
"C/ JOSEP ESTIVILL, 32",41.4175595,2.1877153,09-SantAndreu/63-Navas,old
"C/ TEODOR LLORENTE, 1",41.419178,2.18018,07-Horta-Guinardó/35-el Guinardó,old
"C/ RAMON ALBÓ, 1",41.4244527,2.1773157,09-SantAndreu/62-el Congrés i els Indians,old
"C/ ALEXANDRE GALÍ, 1-5",41.4239719,2.1812399,09-SantAndreu/62-el Congrés i els Indians,old
"C/ FELIP II, 214",41.426925,2.1786224,09-SantAndreu/62-el Congrés i els Indians,old
"LA RAMBLA, 101",41.3826647,2.1717083,01-CiutatVella/01-el Raval,old
" C/ GARCILASO, 77",41.4228449,2.1866363,09-SantAndreu/61-la Sagrera,old
"C/ FELIPE II, 112",41.4219291,2.1849107,09-SantAndreu/61-la Sagrera,old
"C/ PALÈNCIA, 31",41.4182129,2.1904005,09-SantAndreu/61-la Sagrera,old
"C/ ANTILLES, 8",41.4250835,2.1872818,09-SantAndreu/61-la Sagrera,old
"C/ PORTUGAL, 3",41.4258248,2.191206,09-SantAndreu/61-la Sagrera,old
"C/ CARDENAL TEDESCHINI, 13",41.4253643,2.1852073,09-SantAndreu/61-la Sagrera,old
"RAMBLA DE L'ONZE DE SETEMBRE, 31",41.4298991,2.1932159,09-SantAndreu/60-Sant Andreu,old
"C/ ONZE DE SETEMBRE, 37-39",41.4298614,2.1922011,09-SantAndreu/60-Sant Andreu,old
"RAMBLA DE L'ONZE DE SETEMBRE, 69",41.4299999,2.190246,09-SantAndreu/60-Sant Andreu,old
"C/ IRLANDA, 34",41.4315,2.18579,09-SantAndreu/60-Sant Andreu,old
"C/ MALATS, 28-30",41.4361251,2.1894423,09-SantAndreu/60-Sant Andreu,old
"C/ SANT ADRIÀ, 2-8",41.433934,2.1896502,09-SantAndreu/60-Sant Andreu,old
"C/ FERNANDO PESSOA, 41",41.441986663902426,2.192957641716178,09-SantAndreu/60-Sant Andreu,old
"C/ DE BARTRINA, 14",41.4391174,2.1858025,09-SantAndreu/60-Sant Andreu,old
"CARRER DEL CINCA, 7",41.4356895,2.1920873,09-SantAndreu/60-Sant Andreu,old
"C/ VILLARROEL, 39",41.3821314,2.1606534,02-Eixample/10-Sant Antoni,old
"C/ ENTENÇA, 70",41.3790954665734,2.1516210083711997,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"PG. TORRAS I BAGES, 29",41.4378773,2.1910691,09-SantAndreu/60-Sant Andreu,old
"C/REPÚBLICA DOMINICANA, 25 (CENTRO COMERCIAL)",41.439929,2.1970692,09-SantAndreu/59-el Bon Pastor,old
"C/ CASANOVA, 55",41.3847738,2.1592566,02-Eixample/08-l'Antiga Esquerra de l'Eixample,old
"C/ CONCEPCIÓ ARENAL, 176",41.4268952,2.1842572,09-SantAndreu/61-la Sagrera,old
"PG. TORRAS I BAGES, 129",41.4433647,2.1906302,09-SantAndreu/60-Sant Andreu,old
